sku;name;weight;price;category;stock;description;image
00000331;INATIVO - Essential - Intense Repair Ampola Reparadora 13ml;13ml;399.00;;;Uma dose concentrada de reparação para seus cabelos. A ampola Essential reconstrói e hidrata profundamente a estrutura do fio, resultando em maciez e brilho;https://braehaircare.vtexassets.com/arquivos/ids/160324/Brae_Essential-Ampola-Reparacao-Intensa_13ml_Frente.jpg.jpg?v=638798887115370000
00000187;Beach Hair Day - Spray Texturizador Efeito Ondas 260ml;260ml;599.00;;;Crie ondas de praia naturais e com volume. Com proteção térmica, hidratação e ação anti-frizz, para um visual despojado e duradouro. Tenha o seu!;https://braehaircare.vtexassets.com/arquivos/ids/160359/Brae_Beach-Hair-Day_Spray-Texturizador-Efeito-Ondas_260ml_Frente.jpg.jpg?v=638811969918870000
00000148;Beauty Sleep - Sérum Noturno Nutritivo 100ml;100ml;799.00;;;Sérum noturno que nutre profundamente, controla o frizz e proporciona brilho intenso enquanto você dorme. Fórmula leve que restaura os fios sem pesar.;https://braehaircare.vtexassets.com/arquivos/ids/161823/Brae_Beauty-Sleep_Serum-Noturno-Nutritivo_100ml_Frente.jpg.jpg?v=639233512896930000
00000500;Blonde Repair - Shampoo de Tratamento para Loiras 1L;1L;2099.00;;;Tratamento profissional que limpa suavemente e reconstrói os fios descoloridos. Devolve a força, o brilho e a vitalidade para um loiro impecável. Confira!;https://braehaircare.vtexassets.com/arquivos/ids/161091/Brae_Blonde-Repair_Shampoo-Tratamento-Loiras_1L_Frente--1-.jpg?v=638864697116030000
00000476;Blonde Oil by Ana Paula Siebert - Ampola de Nutrição 13ml;13ml;2195.00;;;Tratamento intensivo que restaura e fortalece os fios loiros. Proporciona reparação profunda e nutrição para um cabelo macio e brilhante. Experimente!;https://braehaircare.vtexassets.com/arquivos/ids/160147/Brae_Blonde-Oil-Ampola-Nutricao-Regeneradora_13ml_Frente.jpg.jpg?v=638781747859700000
00000473;Blonde Oil by Ana Paula Siebert - Condicionador 250ml;250ml;6045.00;;;Fortalece, hidrata e controla o frizz de cabelos loiros. Sela as cutículas, mantém a umidade e garante um brilho radiante. Assinado por Ana Paula Siebert. Veja!;https://braehaircare.vtexassets.com/arquivos/ids/160139/Brae_Blonde-Oil-Condicionador-Nutricao-Regeneradora_250ml_Frente.jpg.jpg?v=638781746776670000
00000474;Blonde Oil by Ana Paula Siebert - Máscara 200g;200g;699.00;;;Tratamento profundo que regenera e nutre os fios loiros. Devolve a força, a maciez e o brilho perdidos na descoloração. By Ana Paula Siebert. Confira!;https://braehaircare.vtexassets.com/arquivos/ids/160162/8799271363---Ajustar-imagem-mascara-Blonde-Oil-e-Intense-Repair--3-.png.png?v=638838892271530000
00000475;Blonde Oil by Ana Paula Siebert - Óleo Capilar 60ml;60ml;6595.00;;;Proporciona nutrição intensa, brilho e proteção à cor dos cabelos loiros, sem pesar. Finalizador perfeito para a sua rotina de cuidados. Adicione ao carrinho!;https://braehaircare.vtexassets.com/arquivos/ids/160143/Brae_Blonde-Oil-Oleo-Capilar-Nutricao-Regeneradora_60ml_Frente.jpg.jpg?v=638781747546300000
00000472;Blonde Oil by Ana Paula Siebert - Shampoo 250ml;250ml;5495.00;;;Limpa suavemente e nutre os fios loiros, preservando a cor e o brilho. Garante cabelos hidratados, macios e sem frizz. Assinado por Ana Paula Siebert. Compre!;https://braehaircare.vtexassets.com/arquivos/ids/160141/Brae_Blonde-Oil-Shampoo-Nutricao-Regeneradora_250ml_Frente.jpg.jpg?v=638781747390230000
00000262;Blonde Repair - Condicionador de Tratamento para Loiras 1L;1L;2299.00;;;Nutre e protege com óleo de babaçu e pantenol. Reduz o frizz e as pontas duplas, deixando os cabelos mais macios, protegidos e radiantes. Sinta a diferença!;https://braehaircare.vtexassets.com/arquivos/ids/160937/Design-sem-nome--39-.jpg.jpg?v=638911243066630000
00000258;Blonde Repair - Condicionador de Tratamento para Loiras 250ml;250ml;3517.00;;;Nutrição intensa e proteção para cabelos descoloridos. Desembaraça, repara os danos da química e devolve o brilho e a maciez. Loiro saudável e radiante!;https://braehaircare.vtexassets.com/arquivos/ids/160917/Brae_Blonde-Repair_Condicionador-Tratamento-Loiras_250ml_Frente.jpg.jpg?v=638815450419300000
00000260;Blonde Repair - Leave In de Tratamento para Loiras 200ml;200ml;7495.00;;;O finalizador que nutre e protege cabelos loiros descoloridos. Oferece proteção térmica, ação antifrizz e devolve a maciez perdida. Transforme seu loiro!;https://braehaircare.vtexassets.com/arquivos/ids/160933/Design-sem-nome--37-.jpg.jpg?v=638911244266800000
00000259;Blonde Repair - Máscara de Tratamento para Loiras 200g;200g;1499.00;;;Oferece regeneração profunda e hidratação para cabelos descoloridos. Revitaliza os fios, devolve a maciez e mantém a beleza e o brilho do seu loiro. Confira!;https://braehaircare.vtexassets.com/arquivos/ids/160925/Design-sem-nome--33-.jpg.jpg?v=638911243348070000
00000263;Blonde Repair - Máscara de Tratamento para Loiras 500g;500g;1299.00;;;Braé Blonde Repair | Máscara 500g: tratamento intenso para loiros. Restaura a fibra capilar, hidrata profundamente e garante cabelos saudáveis, brilhantes e fortes.;https://braehaircare.vtexassets.com/arquivos/ids/160929/Design-sem-nome--35----Copia.jpg.jpg?v=638911244099600000
00000257;Blonde Repair - Shampoo de Tratamento para Loiras 250ml;250ml;999.00;;;Ideal para cabelos loiros e descoloridos. Limpa suavemente, restaura o brilho e a vitalidade, deixando os fios saudáveis, macios e radiantes. Adquira o seu!;https://braehaircare.vtexassets.com/arquivos/ids/160921/Design-sem-nome--31-.jpg.jpg?v=638911242022470000
00000177;Blooming Rose - Perfume Cabelo e Corpo 50ml;50ml;599.00;;;Uma fragrância floral sofisticada para cabelo e corpo. Fórmula leve, de secagem rápida, que neutraliza odores e te mantém perfumada ao longo do dia.;https://braehaircare.vtexassets.com/arquivos/ids/160367/Brae_Blooming-Rose_Perfume-Cabelo-Corpo_50ml_Frente.jpg.jpg?v=638811970559170000
