sku;name;weight;price;category;stock;description;image
;Inovax;;;"categoria-id-23792243 borda-principal"">";;;https://cdn.awsli.com.br/2873/2873879/logo/logo-footer-hsf2ld1l72.jpg
VWPBCV5N6;Ampola Mágica Dourada Hidratação Instantânea 20ml;20ml;60.00;"categoria-id-23792243 borda-principal"">";in_stock;A Ampola Mágica Dourada;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381586115/whatsapp_image_2026-01-15_at_22-29-28-removebg-preview-6ajoxrcdnv.png
10864;Ampola Mágica Dourada Hidratação Instantânea 15 ml;15 ml;40.00;"categoria-id-23792243 borda-principal"">";in_stock;A Ampola Mágica Dourada;https://cdn.awsli.com.br/300x300/2873/2873879/produto/398863207/ampola-intensive-hytration-20ml-nt91y0uu0v.png
10504;Ampola Mágica Prata Reconstrução e Hidratação 15 ml;15 ml;50.00;"categoria-id-23792243 borda-principal"">";in_stock;A Ampola Prata de Reconstrução + Hidratação;https://cdn.awsli.com.br/300x300/2873/2873879/produto/398864348/ampola-intensive-reconstruction-20ml-9wn3671p4z.png
TKPMWSUGV;Ampola Mágica Prata Reconstrução e Hidratação 20ml;20ml;50.00;"categoria-id-23792243 borda-principal"">";in_stock;A Ampola Prata de Reconstrução + Hidratação;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381586457/whatsapp_image_2026-01-15_at_22-29-53-removebg-preview-2ygga2s4or.png
10503;BBCream Inovax Protetor Térmico 15 em 1 - 200 ml;200 ml;120.90;"categoria-id-23792243 borda-principal"">";in_stock;O Protetor Térmico Inovax BB Cream 15 em 1;https://cdn.awsli.com.br/300x300/2873/2873879/produto/399110300/shampoo-antioxidante-300ml-k3fzpxbgps.png
4015601;Bottox Orgânico Inovax Progressiva Inteligente 1 kg;1 kg;120.00;"categoria-id-23792243 borda-principal"">";in_stock;Este é um produto de uso profissional, desenvolvido para procedimentos específicos. A aplicação incorreta pode comprometer o resultado ou a integridade dos fios. Recomendamos uso apenas por profissionais.;https://cdn.awsli.com.br/300x300/2873/2873879/produto/399110300/shampoo-antioxidante-300ml-k3fzpxbgps.png
10217;Condicionador Antiqueda Inovax Fortalecedor Biotonic 300ml;300ml;70.00;"categoria-id-23792243 borda-principal"">";in_stock;O Condicionador Inovax Biotonic Fortalecedor;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381080247/produtos_transparente_padding_medio-3l0afxgwwz.png
105030003;Condicionador Blindage Inovax Protege a Cor e Selagem 300ml;300ml;75.00;"categoria-id-23792243 borda-principal"">";in_stock;O Condicionador Blindage Plex Color Inovax;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381605378/linha-plex-color-hc-1yu2uhcril.png
401080003;Condicionador Cicatrização Inovax Reconstrução e Nutrição 300ml;300ml;70.00;"categoria-id-23792243 borda-principal"">";in_stock;O Condicionador Inovax Cicatric Fortalecedor e Nutritivo;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375073268/mascara-cicatri-hair-hmz18mx3c8.png
10856;Condicionador Liso Leve e Solto 300 ml - Progressiva de Chuveiro;300 ml;75.00;"categoria-id-23792243 borda-principal"">";in_stock;Condicionador para cabelo com progressivas e botox - Liso Leve Solto:;https://cdn.awsli.com.br/300x300/2873/2873879/produto/399070906/kit-liso-leve-solto-home-care-rrfr13h5if.png
401070003;Condicionador Liso Máximo Inovax Fios Alinhados Anti-Frizz 300ml;300ml;70.00;"categoria-id-23792243 borda-principal"">";in_stock;O Condicionador Inovax Liso Máximo Fortalecedor e Protetor;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381099797/linha-liso-maximo-hc-tc085ba1yp.png
105060003;Condicionador Matizador Inovax Hidratação e Brilho 300ml;300ml;69.90;"categoria-id-23792243 borda-principal"">";in_stock;O Condicionador Inovax Absolut Blond Matizador e Nutritivo;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375074745/shampoo-absolut-blond-nd43j3wofo.png
401020003;Condicionador Super Força Inovax Crescimento dos Fios Biotina 300ml;300ml;70.00;"categoria-id-23792243 borda-principal"">";in_stock;O Condicionador Super Força Biotina Inovax;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375064480/shampoo-super-forca-xfc39rby7x.png
10143;Finalizador Liso Máximo Passo 3 Amino Pico Thermo Jet 250ml;250ml;120.00;"categoria-id-23792243 borda-principal"">";in_stock;Este é um produto de uso profissional, desenvolvido para procedimentos específicos. A aplicação incorreta pode comprometer o resultado ou a integridade dos fios. Recomendamos uso apenas por profissionais.;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381450748/total_repair_queratina_concentrada-jd8d7msqeu.png
P7FMPGT7F;Finalizador Térmico Reconstrutor 250g - CICATRI HAIR Professional;250g;120.00;"categoria-id-23792243 borda-principal"">";in_stock;Finalizador Térmico Reconstrutor - Reconstrução Biológica e Nutrição Hidrolipídica:;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381451854/cicatri_hair_mascara_1000g-df2d0uyqxw.png
PRD00007;Kit Blond Matizador Inovax Hidratação e Brilho 300ml;300ml;150.00;"categoria-id-23792243 borda-principal"">";in_stock;O Kit Matização e Platinado Silver foi desenvolvido para quem deseja manter o loiro perfeito, radiante e livre de tons indesejados. Sua fórmula combina pigmentos violetas de alta performance com manteiga de cupuaçu, queratina e proteínas hidrolisadas para matizar, hidratar e revitalizar os fios descoloridos.;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375075096/condicionador-absolut-blond-rpbv3i645d.png
PRD00015;Kit Profissional Matização e Platinação Silver;;260.00;"categoria-id-23792243 borda-principal"">";in_stock;O Kit Blond – Matização e Platinação Silver;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381452579/absolut_blond_mascara_1000g-ssy6hwoyjj.png
