sku;name;weight;price;category;stock;description;image
8KWYN6U92;Kit Lama Vulcânica La Boue EcoBelle 300g;300g;250.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-lama-vulcanica-la-boue-ecobelle-300g-647a1f77743a3-large.png
YDMYK3MK4;Máscara Líquida Liquid Mask EcoBelle 200 mL;200 mL;109.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-liquida-liquid-mask-ecobelle-200-ml-66fd5cae45ed1-large.png
NJTFJ9RNF;Perfume Capilar EcoBelle 50 mL;50 mL;94.99;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/perfume-capilar-ecobelle-50-ml-6927b598619ae-large.png
PM32Q8G3S;Kit Lama Vulcânica La Boue EcoBelle;;500.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-lama-vulcanica-la-boue-ecobelle-647a1eb05cb0c-large.png
HJT8U9H6U;Bye Quebra Eco Belle 250 mL;250 mL;149.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/bye-quebra-eco-belle-250ml-646d15a2abba5-large.png
7XR3P3BXK;Máscara La Boue EcoBelle Dossier Noir 1.2 kg;1.2 kg;320.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-la-boue-ecobelle-dossier-noir-12-kg-647a22b2c3926-large.png
LWHSMBHAQ;Selante La Boue Mastic Noir Eco Belle 500ml;500ml;100.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/selante-la-boue-mastic-noir-eco-belle-500ml-647a2745d0429-large.png
BJP3XM8ES;Máscara La Boue Eco Belle Dossier Noir 300g;300g;150.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-la-boue-eco-belle-dossier-noir-300g-647a234b54a25-large.png
56RC8P9G4;Selante La Boue Mastic Noir Eco Belle 300ml;300ml;60.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/selante-la-boue-mastic-noir-eco-belle-300ml-647a2699829b2-large.png
2QSQFLXZ6;Kit doÈden Capim-Limão e Alecrim;;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-doeden-capim-limao-alecrim-6479e42ea3cfc-large.png
CW2L93VRJ;Finalizador La Boue Home Care Verte 300ml;300ml;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/finalizador-la-boue-home-care-verte-300ml-6479feb6deb3b-large.png
PYL4GGXEC;Shampoo La Boue Home Care Verte 500ml;500ml;80.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-la-boue-home-care-verte-300ml-6479fdc9cc66d-large.png
VLL9VL3WH;Condicionador La Boue Home Care Verte 300ml;300ml;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-la-boue-home-care-verte-300ml-6479fc9f8aff9-large.png
B8SXJ3U53;CRONOGRAMA DA LAMA COMPLETO;;1260.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/cronograma-da-lama-completo-6479eeb60c5e5-large.png
YVGKB834N;ATIVADOR DE CACHOS LUX ECOBELLE 500mL - FORTE;500mL;60.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/ativador-de-cachos-lux-ecobelle-500ml-forte-6a9bfb8a63bee-large.png
ZYUKCQGVL;Selante Capilar La Boue Verte EcoBelle Verte 500ml;500ml;100.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/selante-capilar-la-boue-verte-ecobelle-verte-500ml-647a0016e584e-large.png
